scorer,jamie,jamie,jamie,jamie,jamie,jamie,jamie,jamie
bodyparts,eyes,eyes,swimbladder,swimbladder,midtail,midtail,endtail,endtail
coords,x,y,x,y,x,y,x,y
labeled-data/06-Aug-20_00075_WT_10X/img004.png,500.62982027538476,690.2116656866604,460.08946204970846,671.5404880673638,409.0248852501615,647.6808029963781,356.67920809289114,626.8243222540282
labeled-data/06-Aug-20_00075_WT_10X/img067.png,501.475771842226,691.3646421261037,459.9028283145378,670.8979622355496,409.69550420802216,650.4312823449955,358.8485963549267,626.7666837215422
labeled-data/06-Aug-20_00075_WT_10X/img112.png,503.04666269834274,690.0721116798433,460.5201275276669,670.1806678096883,413.8781212114416,651.6610476547166,357.97630481773047,625.5963970662378
labeled-data/06-Aug-20_00075_WT_10X/img200.png,502.45386978942156,690.2075205410945,462.1235508189204,671.337371298016,412.54315869004745,651.7272162022678,357.04271973981656,625.0870055061569
labeled-data/06-Aug-20_00075_WT_10X/img257.png,503.15468328860766,691.010550290176,461.2345371556334,671.7408056967927,409.51048587865705,650.104601241064,359.4767630747845,626.10193692299
labeled-data/06-Aug-20_00075_WT_10X/img260.png,503.47555080217705,691.2506590961548,460.7142476928617,671.0195049369088,408.75696542025275,650.3285518194982,356.7996831476438,625.9592070367701
labeled-data/06-Aug-20_00075_WT_10X/img264.png,502.8833761103424,690.3558818230814,461.0622266354862,672.6303615158575,412.04008453582026,651.3043448962289,357.2017560853465,625.5469481997943
labeled-data/06-Aug-20_00075_WT_10X/img282.png,497.4151825519399,662.0395080595632,461.74285593198397,683.6190636691663,415.9413501483367,665.122301718078,387.3154090335572,626.8075805336807
labeled-data/06-Aug-20_00075_WT_10X/img284.png,480.2292095712877,642.369219576429,468.00767786521396,685.1445805476872,422.940779699067,682.8530433527983,401.5530992134379,630.1476878703552
labeled-data/06-Aug-20_00075_WT_10X/img299.png,515.3836994950531,588.2379029940755,481.8311361494759,603.6390796117175,446.0784047156642,627.2908865602391,454.87907706860244,686.1453829205138
labeled-data/06-Aug-20_00075_WT_10X/img320.png,573.2463720397157,504.6833563724739,533.7361180346,522.296361169935,493.27380971610813,548.0018276310946,505.65051578999976,603.2209778069189
labeled-data/06-Aug-20_00075_WT_10X/img323.png,580.3578606025071,492.9547265489608,542.7923660926749,519.4353210394984,497.8369382366462,540.3734655203884,491.0628326692993,595.1821378380125
labeled-data/06-Aug-20_00075_WT_10X/img369.png,637.3476016531084,458.5234991076369,599.3606345493947,479.7781116537624,554.1380546640214,494.2493372170818,498.51428140501224,515.9561755620609
labeled-data/06-Aug-20_00075_WT_10X/img393.png,656.9489083021488,454.79138570046837,615.1420598614258,463.9684987728223,572.3155321904412,486.9112814537068,525.9201272135413,528.7181298944298
labeled-data/06-Aug-20_00075_WT_10X/img444.png,687.4234725830831,443.6781247104682,647.5317206178335,456.5246211060571,600.202523370927,469.371117501646,546.1120122316054,492.35958473585765
labeled-data/06-Aug-20_00075_WT_10X/img458.png,697.2754926986491,444.54726420060604,652.6142733660471,455.54079511324653,596.2724274387645,466.5343260258871,551.6112081061624,490.5826748972882
labeled-data/06-Aug-20_00075_WT_10X/img463.png,698.3015653557156,445.7761340245272,653.1871734604988,456.1524441604271,601.7567666999514,466.528754296327,550.7775038583563,484.12336713546165
labeled-data/06-Aug-20_00075_WT_10X/img498.png,700.4567817972917,443.12906947476137,655.2838954674257,455.4090774090938,605.2867203062149,468.12765705536674,548.272397753957,478.6533781419375
labeled-data/06-Aug-20_00075_WT_10X/img528.png,700.9182464519197,444.2097859847288,659.1468634525354,456.86778083302704,608.5148840593423,471.2135083277651,549.4442414339503,483.44957001445346
labeled-data/06-Aug-20_00075_WT_10X/img589.png,701.4653685735677,444.2903427621992,656.5716801782698,457.2858841397854,606.3616339466867,470.28142551737164,551.4259363050721,482.68626046870395
labeled-data/06-Sep-20_00144_sap_unaffected/img098.png,524.6450384373029,358.8262485171076,570.7462348907761,378.39751116245,617.7172652395979,394.92435517407245,675.5612192802764,417.1051195054605
labeled-data/06-Sep-20_00144_sap_unaffected/img280.png,523.7058549129288,358.6251617735124,569.1101906217649,377.6056627665504,618.9805265642569,396.58616375958843,674.4333627988191,413.70583132193644
labeled-data/06-Sep-20_00144_sap_unaffected/img358.png,524.1050671181797,358.1920920954631,569.8590609663668,378.5272004724351,621.087891685277,396.90700996700593,674.2720212865884,416.06893901453725
labeled-data/06-Sep-20_00144_sap_unaffected/img418.png,524.0811457723665,358.1024224541926,569.1882463454414,377.23876815186065,619.7628742607071,395.0082320139811,674.7798681415029,416.1949004649708
labeled-data/06-Sep-20_00144_sap_unaffected/img566.png,524.3588914101563,358.6357073820908,570.2005996007313,378.8721371238762,625.128051757006,397.4566134173526,673.8606784821218,415.6281013487518
labeled-data/06-Sep-20_00144_sap_unaffected/img589.png,524.0777897676594,359.39831256250926,568.9855426016775,377.27421417605046,620.4332594406499,397.76610139157333,674.0609642812735,416.5139982057751
labeled-data/06-Sep-20_00144_sap_unaffected/img692.png,624.0531787336424,399.63817875547244,581.959431298025,378.3436947586307,553.236638930192,349.6209023907977,600.7778125045363,352.59222573919425
labeled-data/06-Sep-20_00144_sap_unaffected/img712.png,685.6307106613547,466.40167635684645,656.9773588145788,437.3006158874648,618.4744172704739,415.810602002383,571.9127205194632,401.48392607899507
labeled-data/06-Sep-20_00144_sap_unaffected/img762.png,757.1642421185425,506.2290496495477,731.4420112132354,471.93274177580486,679.2519774923223,461.8675209867716,627.0619437714092,468.5776681794604
labeled-data/06-Sep-20_00144_sap_unaffected/img789.png,781.9853392704799,512.3493544373193,735.4090234624045,496.8239158346275,701.3393109731643,463.1854655287953,678.9136774359429,413.5903144368632
labeled-data/06-Sep-20_00144_sap_unaffected/img793.png,785.4064156252437,515.4233583877736,740.7671248782386,495.2636786955778,700.447765493847,471.86405048142194,689.2879428070958,418.2249027289723
labeled-data/06-Sep-20_00144_sap_unaffected/img796.png,785.5767582486981,518.2871402976382,743.620064473062,495.26212542076473,701.1517037001622,475.81877952473826,689.3833627630936,424.65207979835293
labeled-data/06-Sep-20_00144_sap_unaffected/img820.png,788.9664780965946,538.0520140799808,757.6086006928527,507.49818481479656,730.6729880511771,465.6876816098074,679.6159312527768,456.4411280163963
labeled-data/06-Sep-20_00144_sap_unaffected/img823.png,792.5714430017196,537.8077844578942,759.203445251584,508.0580033312673,730.2577122635146,468.65964454195057,684.8289924350167,446.5483207316198
labeled-data/06-Sep-20_00144_sap_unaffected/img872.png,814.0319464927344,554.8814360251997,776.314779265856,529.4223481470568,748.0269038456972,489.81932255883453,709.3668074381469,445.5016510672525
labeled-data/06-Sep-20_00144_sap_unaffected/img875.png,815.6225889862508,554.1341829233384,776.4727541670336,528.2876900329813,741.5039696683154,487.9975687627191,716.4176677453219,442.00601523723105
labeled-data/06-Sep-20_00144_sap_unaffected/img932.png,826.3187175683414,568.708944245114,793.8644108847484,539.3246395451041,754.8315285220488,507.3089045734516,730.7100843653243,455.557442564479
labeled-data/06-Sep-20_00144_sap_unaffected/img947.png,827.3651848501374,572.3714748853499,796.0950217887837,540.0816325937346,761.4259279598914,502.3535010740578,713.1611110608453,469.3838726289348
labeled-data/06-Sep-20_00144_sap_unaffected/img958.png,829.167301141005,573.1719413549267,795.9893511327105,541.945635464767,764.7630452425506,502.91275310206726,714.6708462104193,471.03589917252924
labeled-data/06-Sep-20_00144_sap_unaffected/img992.png,826.8108909667004,572.9022745735473,797.3681100384317,539.9728485353521,759.7898238536679,500.07013227730386,720.6619176200478,462.49184609253996
labeled-data/06-Sep-20_00146_sap_unaffected/img044.png,489.5616505817992,369.03877457988887,455.2653427080563,398.2915077663166,422.48210724050807,435.109602983717,381.6291522732555,485.0409923881368
labeled-data/06-Sep-20_00146_sap_unaffected/img107.png,489.98292703554114,368.24536180534585,455.72316680446,400.1149062063516,419.47156004831595,439.9518367076088,380.8297374620965,486.1626760890671
labeled-data/06-Sep-20_00146_sap_unaffected/img130.png,491.02744541429206,368.1033742136052,454.50355872031844,398.15467339219117,419.3666550653563,437.45252616418816,381.91811301204154,485.9969325295963
labeled-data/06-Sep-20_00146_sap_unaffected/img211.png,490.619214184753,367.27820153758927,455.5334772295173,399.0746506532716,421.17869312751566,435.25681688835834,380.97628619964144,485.3270873348926
labeled-data/06-Sep-20_00146_sap_unaffected/img246.png,490.19234457114715,368.49589589579193,455.782739005153,402.41393566798615,420.881567645359,437.3151070277802,381.06473834756576,486.9632522015718
labeled-data/06-Sep-20_00146_sap_unaffected/img332.png,491.50261776297623,367.4611407629325,457.041423371983,397.2632398400295,422.4326331534826,433.6317990526909,380.1981772936177,487.59804820696274
labeled-data/06-Sep-20_00146_sap_unaffected/img365.png,489.74423666554515,367.91537313975334,455.02397613692654,399.34634582881864,420.669192034925,437.72137062360764,380.4667851070508,485.59878251043966
labeled-data/06-Sep-20_00146_sap_unaffected/img375.png,488.97561552755633,367.21738626020016,456.2238644836244,396.7508053422698,422.89241437615055,433.970924628949,380.11705340489243,485.6346722955335
labeled-data/06-Sep-20_00146_sap_unaffected/img519.png,488.40206971650207,367.24092294207423,455.24239352953816,398.47271097863324,420.1548291921694,437.03047398673084,380.4403332938289,485.6132553769337
labeled-data/06-Sep-20_00146_sap_unaffected/img549.png,490.92240977351014,366.25196200547,455.44926780606045,397.483750042029,420.74728109877265,436.04151305012647,380.26162994027027,486.5521825907342
labeled-data/06-Sep-20_00146_sap_unaffected/img564.png,488.7003464494025,367.1239887593782,452.71005533828964,399.9072242269266,420.6394989026446,436.253854853991,379.30411505225754,486.1413870872167
labeled-data/06-Sep-20_00146_sap_unaffected/img704.png,489.3039988379449,367.56139094675353,456.30878704295867,398.39298229616685,421.6908599137928,437.33815031647845,380.0411663365152,487.10142056465435
labeled-data/06-Sep-20_00146_sap_unaffected/img778.png,575.2792125130663,527.14992536928,534.8757935505528,498.8072284851287,534.8757935505528,443.3279069246623,546.936515628915,389.6576936759502
labeled-data/06-Sep-20_00146_sap_unaffected/img787.png,602.2998080176865,562.0414481514114,580.0934603364353,516.5542520946548,531.3827621969165,501.1530754770128,490.1935689171763,472.499723630237
labeled-data/06-Sep-20_00146_sap_unaffected/img788.png,603.487734777787,568.8281809292978,583.5546504700937,519.733732541831,537.0441204188094,500.16977942502103,491.2718527492915,481.3440886899774
labeled-data/06-Sep-20_00146_sap_unaffected/img828.png,728.1262122649441,598.2474082080448,679.5292489665928,608.9969669099843,627.3490994342617,605.4137806760044,617.9432355700646,550.5462414681884
